time (ps), velocity (Å/ps)
669000000.000000,-0.000002
670000000.000000,-0.000001
671000000.000000,-0.000002
672000000.000000,-0.000002
673000000.000000,-0.000002
674000000.000000,-0.000002
675000000.000000,-0.000002
676000000.000000,-0.000002
677000000.000000,-0.000002
678000000.000000,-0.000004
679000000.000000,-0.000003
680000000.000000,-0.000003
681000000.000000,-0.000002
682000000.000000,-0.000003
683000000.000000,-0.000001
684000000.000000,-0.000002
685000000.000000,-0.000001
686000000.000000,-0.000001
687000000.000000,-0.000001
688000000.000000,-0.000000
689000000.000000,0.000000
690000000.000000,0.000001
691000000.000000,-0.000000
692000000.000000,-0.000002
693000000.000000,-0.000001
694000000.000000,-0.000000
695000000.000000,0.000000
696000000.000000,0.000000
697000000.000000,-0.000000
698000000.000000,-0.000000
699000000.000000,-0.000001
700000000.000000,-0.000001
701000000.000000,-0.000001
702000000.000000,-0.000001
703000000.000000,-0.000001
704000000.000000,-0.000000
705000000.000000,0.000000
706000000.000000,-0.000000
707000000.000000,0.000000
708000000.000000,0.000001
709000000.000000,0.000001
710000000.000000,0.000001
711000000.000000,0.000001
712000000.000000,0.000002
713000000.000000,0.000002
714000000.000000,0.000002
715000000.000000,0.000001
716000000.000000,0.000000
717000000.000000,0.000000
718000000.000000,-0.000000
719000000.000000,-0.000000
720000000.000000,-0.000001
721000000.000000,-0.000001
722000000.000000,-0.000002
723000000.000000,-0.000002
724000000.000000,-0.000002
725000000.000000,-0.000002
726000000.000000,-0.000001
727000000.000000,-0.000000
728000000.000000,-0.000000
729000000.000000,0.000000
730000000.000000,0.000001
731000000.000000,0.000001
732000000.000000,-0.000000
733000000.000000,-0.000001
734000000.000000,-0.000001
735000000.000000,-0.000000
736000000.000000,-0.000001
737000000.000000,-0.000001
738000000.000000,-0.000001
739000000.000000,-0.000001
740000000.000000,-0.000001
741000000.000000,-0.000000
742000000.000000,0.000002
743000000.000000,0.000002
744000000.000000,0.000004
745000000.000000,0.000004
746000000.000000,0.000004
747000000.000000,0.000003
748000000.000000,0.000004
749000000.000000,0.000004
750000000.000000,0.000006
751000000.000000,0.000006
752000000.000000,0.000005
753000000.000000,0.000005
754000000.000000,0.000006
755000000.000000,0.000006
756000000.000000,0.000006
757000000.000000,0.000006
758000000.000000,0.000006
759000000.000000,0.000005
760000000.000000,0.000004
761000000.000000,0.000004
762000000.000000,0.000003
763000000.000000,0.000003
764000000.000000,0.000004
765000000.000000,0.000004
766000000.000000,0.000003
767000000.000000,0.000004
768000000.000000,0.000004
769000000.000000,0.000004
770000000.000000,0.000005
771000000.000000,0.000004
772000000.000000,0.000004
773000000.000000,0.000004
774000000.000000,0.000005
775000000.000000,0.000005
776000000.000000,0.000005
777000000.000000,0.000005
778000000.000000,0.000006
779000000.000000,0.000006
780000000.000000,0.000006
781000000.000000,0.000006
782000000.000000,0.000005
783000000.000000,0.000006
784000000.000000,0.000005
785000000.000000,0.000004
786000000.000000,0.000004
787000000.000000,0.000004
788000000.000000,0.000003
789000000.000000,0.000005
790000000.000000,0.000004
791000000.000000,0.000005
792000000.000000,0.000005
793000000.000000,0.000005
794000000.000000,0.000004
795000000.000000,0.000004
796000000.000000,0.000004
797000000.000000,0.000005
798000000.000000,0.000005
799000000.000000,0.000004
800000000.000000,0.000005
801000000.000000,0.000005
802000000.000000,0.000006
803000000.000000,0.000006
804000000.000000,0.000006
805000000.000000,0.000006
806000000.000000,0.000006
807000000.000000,0.000005
808000000.000000,0.000004
809000000.000000,0.000005
810000000.000000,0.000004
811000000.000000,0.000005
812000000.000000,0.000004
813000000.000000,0.000004
814000000.000000,0.000005
815000000.000000,0.000004
816000000.000000,0.000003
817000000.000000,0.000003
818000000.000000,0.000003
819000000.000000,0.000003
820000000.000000,0.000003
821000000.000000,0.000002
822000000.000000,0.000002
823000000.000000,0.000002
824000000.000000,0.000002
825000000.000000,0.000002
826000000.000000,0.000002
827000000.000000,0.000002
828000000.000000,0.000001
829000000.000000,0.000001
830000000.000000,0.000001
831000000.000000,0.000001
832000000.000000,0.000001
833000000.000000,0.000001
834000000.000000,0.000001
835000000.000000,0.000002
836000000.000000,0.000002
837000000.000000,0.000001
838000000.000000,0.000001
839000000.000000,-0.000000
840000000.000000,-0.000000
841000000.000000,-0.000000
842000000.000000,0.000000
843000000.000000,-0.000000
844000000.000000,-0.000001
845000000.000000,-0.000000
846000000.000000,-0.000001
847000000.000000,-0.000001
848000000.000000,-0.000002
849000000.000000,-0.000002
850000000.000000,-0.000001
851000000.000000,-0.000001
852000000.000000,-0.000002
853000000.000000,-0.000003
854000000.000000,-0.000003
855000000.000000,-0.000002
856000000.000000,-0.000004
857000000.000000,-0.000004
858000000.000000,-0.000004
859000000.000000,-0.000004
860000000.000000,-0.000004
861000000.000000,-0.000004
862000000.000000,-0.000003
863000000.000000,-0.000004
864000000.000000,-0.000003
865000000.000000,-0.000003
866000000.000000,-0.000004
867000000.000000,-0.000005
868000000.000000,-0.000005
869000000.000000,-0.000004
870000000.000000,-0.000005
871000000.000000,-0.000005
872000000.000000,-0.000005
873000000.000000,-0.000004
874000000.000000,-0.000003
875000000.000000,-0.000003
876000000.000000,-0.000003
877000000.000000,-0.000003
878000000.000000,-0.000003
879000000.000000,-0.000004
880000000.000000,-0.000004
881000000.000000,-0.000003
882000000.000000,-0.000003
883000000.000000,-0.000003
884000000.000000,-0.000003
885000000.000000,-0.000002
886000000.000000,-0.000003
887000000.000000,-0.000003
888000000.000000,-0.000003
889000000.000000,-0.000002
890000000.000000,-0.000002
891000000.000000,-0.000003
892000000.000000,-0.000003
893000000.000000,-0.000003
894000000.000000,-0.000003
895000000.000000,-0.000004
896000000.000000,-0.000004
897000000.000000,-0.000004
898000000.000000,-0.000004
899000000.000000,-0.000004
900000000.000000,-0.000003
901000000.000000,-0.000003
902000000.000000,-0.000002
903000000.000000,-0.000000
904000000.000000,0.000000
905000000.000000,-0.000001
906000000.000000,-0.000001
907000000.000000,-0.000001
908000000.000000,-0.000001
909000000.000000,-0.000001
910000000.000000,-0.000002
911000000.000000,-0.000001
912000000.000000,-0.000001
913000000.000000,-0.000001
914000000.000000,-0.000000
915000000.000000,-0.000000
916000000.000000,0.000001
917000000.000000,0.000001
918000000.000000,0.000001
919000000.000000,0.000000
920000000.000000,0.000000
921000000.000000,-0.000000
922000000.000000,-0.000000
923000000.000000,-0.000000
924000000.000000,-0.000000
925000000.000000,-0.000002
926000000.000000,-0.000003
927000000.000000,-0.000003
928000000.000000,-0.000004
929000000.000000,-0.000004
930000000.000000,-0.000004
931000000.000000,-0.000004
932000000.000000,-0.000005
933000000.000000,-0.000004
934000000.000000,-0.000004
935000000.000000,-0.000004
936000000.000000,-0.000003
937000000.000000,-0.000003
938000000.000000,-0.000004
939000000.000000,-0.000004
940000000.000000,-0.000003
941000000.000000,-0.000003
942000000.000000,-0.000003
943000000.000000,-0.000002
944000000.000000,-0.000001
945000000.000000,-0.000003
946000000.000000,-0.000003
947000000.000000,-0.000003
948000000.000000,-0.000004
949000000.000000,-0.000004
950000000.000000,-0.000003
951000000.000000,-0.000003
952000000.000000,-0.000003
953000000.000000,-0.000003
954000000.000000,-0.000003
955000000.000000,-0.000004
956000000.000000,-0.000004
957000000.000000,-0.000003
958000000.000000,-0.000003
959000000.000000,-0.000003
960000000.000000,-0.000003
961000000.000000,-0.000002
962000000.000000,-0.000001
963000000.000000,-0.000001
964000000.000000,-0.000001
965000000.000000,-0.000000
966000000.000000,0.000000
967000000.000000,0.000000
968000000.000000,0.000001
969000000.000000,0.000001
970000000.000000,0.000001
971000000.000000,0.000001
972000000.000000,-0.000001
973000000.000000,-0.000002
974000000.000000,-0.000002
975000000.000000,-0.000002
976000000.000000,-0.000001
977000000.000000,-0.000001
978000000.000000,-0.000001
979000000.000000,-0.000001
980000000.000000,-0.000000
981000000.000000,-0.000000
982000000.000000,0.000000
983000000.000000,0.000001
984000000.000000,0.000001
985000000.000000,0.000001
986000000.000000,0.000001
987000000.000000,0.000002
988000000.000000,0.000001
989000000.000000,0.000002
990000000.000000,0.000001
991000000.000000,0.000001
992000000.000000,-0.000001
993000000.000000,-0.000000
994000000.000000,0.000000
995000000.000000,0.000000
996000000.000000,-0.000000
997000000.000000,0.000000
998000000.000000,0.000001
999000000.000000,0.000001
1000000000.000000,0.000001
1001000000.000000,0.000002
1002000000.000000,0.000003
1003000000.000000,0.000003
1004000000.000000,0.000003
1005000000.000000,0.000003
1006000000.000000,0.000003
1007000000.000000,0.000002
1008000000.000000,0.000001
1009000000.000000,0.000003
1010000000.000000,0.000002
1011000000.000000,0.000002
1012000000.000000,0.000003
1013000000.000000,0.000002
1014000000.000000,0.000001
1015000000.000000,0.000001
1016000000.000000,0.000001
1017000000.000000,0.000001
1018000000.000000,0.000002
1019000000.000000,0.000000
1020000000.000000,-0.000000
1021000000.000000,-0.000001
1022000000.000000,-0.000002
1023000000.000000,-0.000002
1024000000.000000,-0.000002
1025000000.000000,-0.000002
1026000000.000000,-0.000002
1027000000.000000,-0.000002
1028000000.000000,-0.000002
1029000000.000000,-0.000002
1030000000.000000,-0.000002
1031000000.000000,-0.000002
1032000000.000000,-0.000002
1033000000.000000,-0.000003
1034000000.000000,-0.000002
1035000000.000000,-0.000003
1036000000.000000,-0.000002
1037000000.000000,-0.000002
1038000000.000000,-0.000002
1039000000.000000,-0.000002
1040000000.000000,-0.000002
1041000000.000000,-0.000002
1042000000.000000,-0.000003
1043000000.000000,-0.000003
1044000000.000000,-0.000003
1045000000.000000,-0.000003
1046000000.000000,-0.000004
1047000000.000000,-0.000003
1048000000.000000,-0.000003
1049000000.000000,-0.000003
1050000000.000000,-0.000003
1051000000.000000,-0.000004
1052000000.000000,-0.000004
1053000000.000000,-0.000005
1054000000.000000,-0.000006
1055000000.000000,-0.000007
1056000000.000000,-0.000007
1057000000.000000,-0.000007
1058000000.000000,-0.000007
1059000000.000000,-0.000006
1060000000.000000,-0.000006
1061000000.000000,-0.000006
1062000000.000000,-0.000006
1063000000.000000,-0.000006
1064000000.000000,-0.000006
1065000000.000000,-0.000006
1066000000.000000,-0.000005
1067000000.000000,-0.000006
1068000000.000000,-0.000006
1069000000.000000,-0.000005
1070000000.000000,-0.000005
1071000000.000000,-0.000006
1072000000.000000,-0.000005
1073000000.000000,-0.000005
1074000000.000000,-0.000004
1075000000.000000,-0.000004
1076000000.000000,-0.000004
1077000000.000000,-0.000003
1078000000.000000,-0.000003
1079000000.000000,-0.000003
1080000000.000000,-0.000002
1081000000.000000,-0.000002
1082000000.000000,-0.000002
1083000000.000000,-0.000002
1084000000.000000,-0.000002
1085000000.000000,-0.000003
1086000000.000000,-0.000003
1087000000.000000,-0.000003
1088000000.000000,-0.000003
1089000000.000000,-0.000002
1090000000.000000,-0.000003
1091000000.000000,-0.000004
1092000000.000000,-0.000004
1093000000.000000,-0.000003
1094000000.000000,-0.000003
1095000000.000000,-0.000003
1096000000.000000,-0.000003
1097000000.000000,-0.000004
1098000000.000000,-0.000004
1099000000.000000,-0.000004
